year,month,mileage,daily_km,hybrid,displace_cc,weight_kg,age_month,temp_ave,gasprice,pop_density
2007,2,9.83,16.6,0,2490,1875,91,7.9,128.725,234
2007,2,6.74,13.2,0,2690,2700,10,2.8,134.325,158
2007,3,8.57,19.7,0,650,1210,20,0.9,128.75,65
2007,3,9.25,15.8,0,650,1170,83,7.3,131.875,277
2007,3,9.94,41.9,0,650,1100,60,9.1,124.775,1923
2007,3,10.57,20.9,0,650,1080,55,9.9,128.775,671
2007,3,13.49,8.1,0,650,950,10,8.9,129.275,197
2007,3,12.48,5.7,0,650,1120,28,-1.7,128.75,65
2007,3,0.86,1,0,650,880,155,2.3,128.725,140
2007,3,8,9.5,0,650,1100,96,-0.1,128.75,65
2007,3,17.72,52.8,0,650,1020,65,12.1,131.125,147
2007,3,7.98,25.5,0,650,1090,37,0.9,128.75,65
2007,3,13.96,20.6,0,650,1000,86,10.7,132.1,347
2007,3,11.74,3.9,0,990,1205,89,9.2,127.875,234
2007,3,13.11,15.7,0,1240,1195,56,10.4,132.975,251
2007,3,12.19,13.1,0,1240,1195,48,9.1,131.825,192
2007,3,9.56,13,0,1290,1245,74,9.6,127,536
2007,3,16.94,27.6,1,1330,1555,15,8.6,127.8,559
2007,3,15.14,13.2,0,1330,1175,108,9.2,127.875,234
2007,3,25.9,28.9,1,1330,1465,62,1.9,128,85
2007,3,11.6,15.5,0,1330,1265,67,8.4,131.9,105
2007,3,17.36,123.6,1,1330,1555,15,4.6,134.075,158
2007,3,8.27,11.9,0,1360,1315,70,-1.5,128.75,65
2007,3,3.65,2.5,0,1480,1325,144,6.7,127.75,256
2007,3,10.72,9.7,0,1490,1295,27,9.6,129.05,338
2007,3,14.25,6.5,1,1490,1535,15,10.8,132.925,6069
2007,3,12.98,22.2,0,1490,1535,77,1.5,128.75,65
2007,3,16.02,17.7,0,1490,1355,15,4.6,134.075,158
2007,3,21.27,31.9,1,1490,1545,31,9.4,126.425,273
2007,3,21.45,38,0,1490,1315,126,9.4,126.425,273
2007,3,20.93,40.3,1,1490,1525,24,10.6,126.5,3774
2007,3,14.07,7.6,1,1490,1495,48,9.1,124.775,1923
2007,3,19.64,34.6,1,1490,1525,24,4.6,134.075,158
2007,3,16.87,16.1,1,1490,1545,35,10.6,134.05,188
2007,3,25.17,39,1,1490,1525,34,10.7,132.1,347
2007,3,15.2,19,1,1490,1525,77,9.6,129.05,338
2007,3,11.3,17.9,0,1490,1305,32,9.6,127,536
2007,3,23.84,81.3,1,1490,1525,21,11.3,129.9,1027
2007,3,14.01,28.2,1,1490,1515,101,7.2,125.1,354
2007,3,8.2,9.8,1,1490,1515,92,0.9,128.75,65
2007,3,19.41,34.8,1,1490,1545,30,11.2,131.175,487
2007,3,10.22,28.8,0,1490,1575,22,3.5,126.275,91
2007,3,11.82,17.9,0,1490,1425,7,11.2,131.175,487
2007,3,18.48,30.3,1,1490,1535,9,10.6,125.95,1213
2007,3,20.62,39.5,1,1490,1525,25,9,130.025,1448
2007,3,6.23,6.5,0,1760,1455,68,0.9,128.75,65
2007,3,11.04,13.5,0,1830,1485,136,8.4,131.9,105
2007,3,9.66,28.7,0,1970,1930,86,3.6,125.475,122
2007,3,6.01,7,0,1990,1855,123,9.9,128.775,671
2007,3,8.24,44.9,0,1990,1500,60,9.2,127.875,234
2007,3,9.43,31.9,0,1990,1635,78,9.1,124.775,1923
2007,3,7.5,7.8,0,1990,1795,66,9.6,129.05,338
2007,3,7.16,29.8,0,1990,1960,7,9.1,124.775,1923
2007,3,6.85,24.9,0,1990,1685,40,10.6,126.5,3774
2007,3,3.55,3.4,0,1990,1920,45,6.7,127.75,256
2007,3,8.79,31.5,0,2150,1830,122,6,128.875,143
2007,3,6.3,15.9,0,2350,1780,101,6,128.8,186
2007,3,10.79,3,1,2360,2385,9,12.1,131.125,147
2007,3,9.26,23.4,1,2360,2415,12,4.6,134.075,158
2007,3,11.04,45.6,1,2360,2300,64,1.5,128.75,65
2007,3,7.8,17.7,0,2360,1855,69,10.6,134.05,188
2007,3,6.03,15.2,0,2380,2410,6,5.3,127.325,320
2007,3,8,39.4,0,2430,2265,176,9.2,127.875,234
2007,3,9.21,39.5,0,2490,1585,141,8.6,127.8,559
2007,3,7.65,34.1,1,2990,1955,44,9.9,128.775,671
2007,3,9.56,23,0,2990,1755,28,9.6,129.05,338
2007,3,9.31,26.1,0,2990,1855,12,9.4,126.425,273
2007,3,6.98,20.3,0,3240,1855,33,10.6,125.95,1213
2007,3,9.25,27.3,1,3310,2275,9,9,130.025,1448
2007,3,17.5,8,1,3310,2245,14,10.3,129.975,187
2007,3,2.98,12,0,4660,2735,42,0.9,128.75,65
2007,4,12.58,3,0,650,1040,60,12.5,126.4,1923
2007,4,16.34,70.9,0,650,1080,96,15.1,132.775,245
2007,4,11.05,3.7,0,650,1080,35,14.3,129.15,536
