year,num,prefecture,pop.1000,GRP.mill,goods,ton
2000,43,Kumamoto,1859,5551841,agriculture,2497899
2000,43,Kumamoto,1859,5551841,wood,626665
2000,43,Kumamoto,1859,5551841,mine,12087464
2000,43,Kumamoto,1859,5551841,machine,2916060
2000,43,Kumamoto,1859,5551841,chemical,12289489
2000,43,Kumamoto,1859,5551841,Smachine,3225461
2000,43,Kumamoto,1859,5551841,miscind,640432
2000,43,Kumamoto,1859,5551841,special,873664
2000,43,Kumamoto,1859,5551841,total,35157134
2000,44,Ooita,1221,4440515,agriculture,926520
2000,44,Ooita,1221,4440515,wood,871726
2000,44,Ooita,1221,4440515,mine,31640342
2000,44,Ooita,1221,4440515,machine,12270395
2000,44,Ooita,1221,4440515,chemical,27600396
2000,44,Ooita,1221,4440515,Smachine,1972645
2000,44,Ooita,1221,4440515,miscind,1012183
2000,44,Ooita,1221,4440515,special,890497
2000,44,Ooita,1221,4440515,total,77184704
2000,45,Miyazaki,1170,3691610,agriculture,1896836
2000,45,Miyazaki,1170,3691610,wood,640581
2000,45,Miyazaki,1170,3691610,mine,7127386
2000,45,Miyazaki,1170,3691610,machine,1013235
2000,45,Miyazaki,1170,3691610,chemical,7816491
2000,45,Miyazaki,1170,3691610,Smachine,2298790
2000,45,Miyazaki,1170,3691610,miscind,524937
2000,45,Miyazaki,1170,3691610,special,1042171
2000,45,Miyazaki,1170,3691610,total,22360427
2000,46,Kagoshima,1786,5525044,agriculture,6888843
2000,46,Kagoshima,1786,5525044,wood,327267
2000,46,Kagoshima,1786,5525044,mine,13524729
2000,46,Kagoshima,1786,5525044,machine,970645
2000,46,Kagoshima,1786,5525044,chemical,12623306
2000,46,Kagoshima,1786,5525044,Smachine,2222303
2000,46,Kagoshima,1786,5525044,miscind,993548
2000,46,Kagoshima,1786,5525044,special,6180261
2000,46,Kagoshima,1786,5525044,total,43730902
2000,47,Okinawa,1318,3506407,agriculture,1005972
2000,47,Okinawa,1318,3506407,wood,12420
2000,47,Okinawa,1318,3506407,mine,11588976
2000,47,Okinawa,1318,3506407,machine,584825
2000,47,Okinawa,1318,3506407,chemical,15706115
2000,47,Okinawa,1318,3506407,Smachine,1963485
2000,47,Okinawa,1318,3506407,miscind,529258
2000,47,Okinawa,1318,3506407,special,289334
2000,47,Okinawa,1318,3506407,total,31680385
2005,1,Hokkaido,5628,19883837,agriculture,10773522
2005,1,Hokkaido,5628,19883837,wood,2922787
2005,1,Hokkaido,5628,19883837,mine,48000522
2005,1,Hokkaido,5628,19883837,machine,13326783
2005,1,Hokkaido,5628,19883837,chemical,40664495
2005,1,Hokkaido,5628,19883837,Smachine,16487184
2005,1,Hokkaido,5628,19883837,miscind,2884984
2005,1,Hokkaido,5628,19883837,special,9806916
2005,1,Hokkaido,5628,19883837,total,144867193
2005,2,Aomori,1437,4500069,agriculture,3168508
2005,2,Aomori,1437,4500069,wood,493971
2005,2,Aomori,1437,4500069,mine,15001088
2005,2,Aomori,1437,4500069,machine,2364016
2005,2,Aomori,1437,4500069,chemical,10116638
2005,2,Aomori,1437,4500069,Smachine,2166673
2005,2,Aomori,1437,4500069,miscind,724718
2005,2,Aomori,1437,4500069,special,4331849
2005,2,Aomori,1437,4500069,total,38367461
2005,3,Iwate,1385,4606014,agriculture,1444208
2005,3,Iwate,1385,4606014,wood,250330
2005,3,Iwate,1385,4606014,mine,15032463
2005,3,Iwate,1385,4606014,machine,2676323
2005,3,Iwate,1385,4606014,chemical,11650651
2005,3,Iwate,1385,4606014,Smachine,1863723
2005,3,Iwate,1385,4606014,miscind,779963
2005,3,Iwate,1385,4606014,special,775177
2005,3,Iwate,1385,4606014,total,34472838
2005,4,Miyagi,2360,8469524,agriculture,4023064
2005,4,Miyagi,2360,8469524,wood,209816
2005,4,Miyagi,2360,8469524,mine,11515846
2005,4,Miyagi,2360,8469524,machine,9524238
2005,4,Miyagi,2360,8469524,chemical,23704767
2005,4,Miyagi,2360,8469524,Smachine,7235740
2005,4,Miyagi,2360,8469524,miscind,1678545
2005,4,Miyagi,2360,8469524,special,3428091
2005,4,Miyagi,2360,8469524,total,61320107
2005,5,Akita,1146,3757770,agriculture,1056302
2005,5,Akita,1146,3757770,wood,455358
2005,5,Akita,1146,3757770,mine,6171848
2005,5,Akita,1146,3757770,machine,1269405
2005,5,Akita,1146,3757770,chemical,7570125
2005,5,Akita,1146,3757770,Smachine,2208672
2005,5,Akita,1146,3757770,miscind,983573
2005,5,Akita,1146,3757770,special,583025
2005,5,Akita,1146,3757770,total,20298308
2005,6,Yamagata,1216,3961783,agriculture,987938
2005,6,Yamagata,1216,3961783,wood,58454
2005,6,Yamagata,1216,3961783,mine,6151334
2005,6,Yamagata,1216,3961783,machine,2591859
2005,6,Yamagata,1216,3961783,chemical,6086380
2005,6,Yamagata,1216,3961783,Smachine,1850100
2005,6,Yamagata,1216,3961783,miscind,1261285
2005,6,Yamagata,1216,3961783,special,483975
2005,6,Yamagata,1216,3961783,total,19471325
2005,7,Fukushima,2091,7836897,agriculture,1368694
2005,7,Fukushima,2091,7836897,wood,845921
2005,7,Fukushima,2091,7836897,mine,18513286
2005,7,Fukushima,2091,7836897,machine,6438484
2005,7,Fukushima,2091,7836897,chemical,13233620
2005,7,Fukushima,2091,7836897,Smachine,4366204
2005,7,Fukushima,2091,7836897,miscind,1543807
2005,7,Fukushima,2091,7836897,special,1718215
2005,7,Fukushima,2091,7836897,total,48028231
2005,8,Ibaraki,2975,11196075,agriculture,6796471
2005,8,Ibaraki,2975,11196075,wood,3320043
2005,8,Ibaraki,2975,11196075,mine,24752027
2005,8,Ibaraki,2975,11196075,machine,17414756
2005,8,Ibaraki,2975,11196075,chemical,50391207
2005,8,Ibaraki,2975,11196075,Smachine,6169363
2005,8,Ibaraki,2975,11196075,miscind,1848345
2005,8,Ibaraki,2975,11196075,special,6405462
2005,8,Ibaraki,2975,11196075,total,117097674
2005,9,Tochigi,2017,8132502,agriculture,1273930
2005,9,Tochigi,2017,8132502,wood,345120
2005,9,Tochigi,2017,8132502,mine,33442217
2005,9,Tochigi,2017,8132502,machine,11744531
2005,9,Tochigi,2017,8132502,chemical,11059081
2005,9,Tochigi,2017,8132502,Smachine,3674722
2005,9,Tochigi,2017,8132502,miscind,2062731
2005,9,Tochigi,2017,8132502,special,2352392
2005,9,Tochigi,2017,8132502,total,65954724
2005,10,Gunma,2024,7668403,agriculture,1451010
2005,10,Gunma,2024,7668403,wood,386701
2005,10,Gunma,2024,7668403,mine,9978274
2005,10,Gunma,2024,7668403,machine,12115359
2005,10,Gunma,2024,7668403,chemical,13814029
2005,10,Gunma,2024,7668403,Smachine,6353893
2005,10,Gunma,2024,7668403,miscind,4241496
2005,10,Gunma,2024,7668403,special,1303146
2005,10,Gunma,2024,7668403,total,49643908
2005,11,Saitama,7054,20526591,agriculture,3092938
2005,11,Saitama,7054,20526591,wood,765514
2005,11,Saitama,7054,20526591,mine,13606258
2005,11,Saitama,7054,20526591,machine,20250630
2005,11,Saitama,7054,20526591,chemical,39744539
2005,11,Saitama,7054,20526591,Smachine,11165116
2005,11,Saitama,7054,20526591,miscind,7583705
2005,11,Saitama,7054,20526591,special,4513538
2005,11,Saitama,7054,20526591,total,100722238
2005,12,Chiba,6056,19670654,agriculture,5067101
2005,12,Chiba,6056,19670654,wood,588135
2005,12,Chiba,6056,19670654,mine,26921440
2005,12,Chiba,6056,19670654,machine,30267616
2005,12,Chiba,6056,19670654,chemical,103490580
2005,12,Chiba,6056,19670654,Smachine,7473563
2005,12,Chiba,6056,19670654,miscind,5827457
2005,12,Chiba,6056,19670654,special,4069213
2005,12,Chiba,6056,19670654,total,183705105
2005,13,Tokyo,12577,97962759,agriculture,20352247
2005,13,Tokyo,12577,97962759,wood,1637437
2005,13,Tokyo,12577,97962759,mine,5824995
2005,13,Tokyo,12577,97962759,machine,17412503
2005,13,Tokyo,12577,97962759,chemical,40610236
2005,13,Tokyo,12577,97962759,Smachine,19501198
2005,13,Tokyo,12577,97962759,miscind,16068128
2005,13,Tokyo,12577,97962759,special,12742957
2005,13,Tokyo,12577,97962759,total,134149701
2005,14,Kanagawa,8792,30874470,agriculture,7152592
2005,14,Kanagawa,8792,30874470,wood,3283152
2005,14,Kanagawa,8792,30874470,mine,5537387
2005,14,Kanagawa,8792,30874470,machine,30474561
2005,14,Kanagawa,8792,30874470,chemical,93270209
2005,14,Kanagawa,8792,30874470,Smachine,15692090
2005,14,Kanagawa,8792,30874470,miscind,4869487
2005,14,Kanagawa,8792,30874470,special,8837204
2005,14,Kanagawa,8792,30874470,total,169116682
2005,15,Niigata,2431,9267701,agriculture,2639326
2005,15,Niigata,2431,9267701,wood,881060
2005,15,Niigata,2431,9267701,mine,20256488
2005,15,Niigata,2431,9267701,machine,6841069
2005,15,Niigata,2431,9267701,chemical,27468047
2005,15,Niigata,2431,9267701,Smachine,4688989
2005,15,Niigata,2431,9267701,miscind,1243363
